T type,T type class,Dataset,T type sub-class,Specimen ID
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,827447865
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,643021973
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,745736817
Lamp5 Krt73,CGE interneuron,New Patchseq,Lamp5 interneuron,855275163
Pvalb Gpr149 Islr,MGE interneuron,New Patchseq,Pvalb interneuron,755625739
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,716298521
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,670091720
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,740819727
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,668176228
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,626153003
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,872026690
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,750706642
Vip Rspo4 Rxfp1 Chat,CGE interneuron,New Patchseq,Vip interneuron,691511791
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,673132928
Sncg Vip Nptx2,CGE interneuron,New Patchseq,Sncg interneuron,799776604
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,718237581
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,711770582
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,761409397
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,739547189
Vip Rspo4 Rxfp1 Chat,CGE interneuron,New Patchseq,Vip interneuron,657184390
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,679899997
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,657661669
Vip Lect1 Oxtr,CGE interneuron,New Patchseq,Vip interneuron,640280740
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,755592855
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,872248529
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,692824134
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,614728680
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,667473785
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,820754704
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,836844418
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,652958762
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,740164794
Lamp5 Fam19a1 Pax6,CGE interneuron,New Patchseq,Lamp5 interneuron,993243528
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,731651186
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,846902552
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,863631899
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,710784375
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,809649556
Vip Chat Htr1f,CGE interneuron,New Patchseq,Vip interneuron,755625849
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,941935110
Pvalb Vipr2,MGE interneuron,New Patchseq,Pvalb interneuron,829170676
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,692565557
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,645355846
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,761820827
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,645169930
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,844757902
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,858255768
