T type sub-class,T type,T type class,Specimen ID,Axon Bias X (millimeters),Axon Bias Y (millimeters),Axon Contraction,Axon Emd With Basal Dendrite,Axon Extent X (millimeters),Axon Extent Y (millimeters),Axon Hist Pc 0,Axon Hist Pc 1,Axon Hist Pc 2,Axon Hist Pc 3,Axon Hist Pc 4,Axon Max Branch Order,Axon Max Euclidean Distance (millimeters),Axon Max Path Distance (millimeters),Axon Num Branches,Axon Pct Above Basal Dendrite,Axon Pct Below Basal Dendrite,Axon Pct Intersect Basal Dendrite,Axon Soma Distance (millimeters),Axon Soma Percentile X,Axon Soma Percentile Y,Axon Soma Theta,Axon Total Length (millimeters),Basal Dendrite Bias X (millimeters),Basal Dendrite Bias Y (millimeters),Basal Dendrite Contraction,Basal Dendrite Extent X (millimeters),Basal Dendrite Extent Y (millimeters),Basal Dendrite Max Branch Order,Basal Dendrite Max Euclidean Distance (millimeters),Basal Dendrite Max Path Distance (millimeters),Basal Dendrite Num Branches,Basal Dendrite Num Stems,Basal Dendrite Pct Above Axon,Basal Dendrite Pct Below Axon,Basal Dendrite Pct Intersect Axon,Basal Dendrite Soma Percentile X,Basal Dendrite Soma Percentile Y,Basal Dendrite Stem Exit Down,Basal Dendrite Stem Exit Side Less,Basal Dendrite Stem Exit Side More,Basal Dendrite Stem Exit Up,Basal Dendrite Total Length (millimeters),Normalized Soma Depth
Sst Chodl interneuron,Sst Chodl,MGE interneuron,640061596,0.220935439,0.024060494,0.715112145,11.37124365,0.382891922,0.220117112,-362.9107392,81.04501511,-219.1552358,-411.0627784,-433.9976303,9,0.326220327,0.848158937,35,0,0,1,0.018046227,0.334689134,0.234166182,0.422888641,2.664496825,0.051186797,0.206182255,0.83540861,0.44105622,0.466342934,6,0.397091288,0.509074664,43,5,0.008660687,0.257655428,0.733683885,0.479121559,0.698422518,0.2,0.2,0.6,0,5.441014141,0.596284217
Sncg interneuron,Serpinf1 Aqp5 Vip,CGE interneuron,813500978,0.219124267,0.085489069,0.777056687,14.81732865,0.330576899,0.226820438,206.1653256,-200.6021021,110.5149252,-184.4671796,-513.8724689,31,0.302776069,0.887254843,187,0,0.266981379,0.733018621,0.018281424,0.017833727,0.755048518,0.4010788,5.228622748,0.030982203,0.064342645,0.814384025,0.236921923,0.249707766,9,0.168574388,0.276224088,39,3,0.254531127,0,0.745468873,0.3892829,0.330181245,0.666666667,0,0,0.333333333,1.747929788,0.206219372
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,685624703,0.211512227,0.420506116,0.854606646,28.2296174,0.64171534,0.595920004,-798.1831524,-222.502883,172.8264512,46.07571895,394.5844437,19,0.531486417,0.682747192,277,0.495674562,0,0.504325438,0,0.493202884,0.107312049,0.155253534,15.08086719,0.030426382,0.024220597,0.906821404,0.361321315,0.201395395,5,0.210187669,0.241909698,38,4,0,0.035924933,0.964075067,0.347453083,0.620375335,0.25,0,0.25,0.5,2.628185247,0.796262801
Sst interneuron,Sst Chrna2 Ptgdr,MGE interneuron,760416458,0.209464894,0.398685508,0.815491066,40.8856692,0.41348855,0.54264471,-268.4519191,108.622413,-208.7005166,-361.8417948,-347.3379905,13,0.485981045,0.797480808,83,0.525089026,0,0.474910974,0.021913929,0.422790547,0.041761088,0.079994954,4.424560937,0.12951896,0.047219563,0.835106953,0.396429445,0.245091142,6,0.28861458,0.349770864,64,4,0,0.181621955,0.818378045,0.286771508,0.64107308,0.25,0.25,0.25,0.25,4.269813277,0.663069454
Vip interneuron,Vip Lmo1 Fam159b,CGE interneuron,700413526,0.208416815,0.103203537,0.873929745,21.73850668,0.423119471,0.187869548,-620.8475784,-7.255518821,166.1552779,-63.34556634,-252.4058004,17,0.379849432,0.578130433,151,0,0,1,0.016008763,0.142274052,0.887755102,0.649669548,5.501425822,0.095688152,0.077532744,0.874528032,0.326799524,0.36953407,5,0.309495095,0.362263059,31,3,0.644421803,0.001018849,0.354559348,0.17218543,0.275089149,0.333333333,0.333333333,0.333333333,0,2.795580777,0.667102762
Sst Chodl interneuron,Sst Chodl,MGE interneuron,711464852,0.208270456,0.075343186,0.816710043,19.32244691,0.670799114,0.479242807,-1020.543074,-122.4938595,625.5894367,334.6936781,15.11268962,15,0.547582138,0.831584023,153,0,0.015791136,0.984208864,0,0.363090852,0.787556585,0.673011767,15.07557995,0.080525003,0.109473902,0.875723432,0.223398216,0.464841501,7,0.344309412,0.452577052,44,4,0.006360745,0,0.993639255,0.398909587,0.390731486,0.75,0,0,0.25,3.438845296,0.730180366
Pvalb interneuron,Pvalb Gabrg1,MGE interneuron,689280134,0.206498453,0.315299325,0.872183328,6.728352286,0.432416242,0.439012028,-626.3812641,-6.309200424,170.9104065,-55.81213024,-267.7880063,17,0.397767931,0.617216254,171,0.128872689,0.082530591,0.78859672,0,0.157771414,0.28273887,0.521995647,5.762202639,0.014449232,0.140266934,0.864408785,0.311039726,0.210419673,6,0.220331538,0.26822415,23,3,0,0,1,0.410278746,0.094076655,0,0,0.333333333,0.666666667,1.752761144,0.796170812
Sst interneuron,Sst Tac1 Htr1d,MGE interneuron,760280955,0.202935264,0.058014887,0.886178587,10.39368725,0.675906424,0.487446752,596.7399249,290.6740308,377.0672257,-281.0935555,-235.3631068,17,0.495483521,0.806774158,223,0.201133518,0.055489653,0.743376829,0.018327302,0.448398577,0.139449058,0.17015245,11.53170489,0.006589798,0.062349716,0.862083247,0.1669771,0.241948398,6,0.174111531,0.216116993,41,7,0,0,1,0.417613636,0.270454545,0.285714286,0,0.142857143,0.571428571,2.473452698,0.258947831
Sst interneuron,Sst Myh8 Etv1,MGE interneuron,740134630,0.199781498,0.408524434,0.850828036,35.87506556,0.536675426,0.64883313,-367.8723625,-78.21049448,-151.7716721,-340.8339424,405.54047,16,0.60659116,0.83637898,237,0.625294419,0,0.374705581,0.018004289,0.254173067,0.138146441,0.174446685,13.83377216,0.012050578,0.104038111,0.847864699,0.298900972,0.217413474,7,0.214412829,0.246038096,63,5,0,0.016317992,0.983682008,0.494979079,0.622175732,0.2,0.2,0.2,0.4,3.211930618,0.714887673
Pvalb interneuron,Pvalb Tpbg,MGE interneuron,809006343,0.195218671,0.474428973,0.849922162,19.78632724,0.63851138,0.787553971,1304.306426,-830.6830481,849.1667348,-444.7177985,496.750051,26,0.636250915,0.952942452,557,0.011465115,0.292331624,0.696203261,0.019227355,0.326957424,0.525494037,0.633672595,25.09692067,0.042138236,0.026417044,0.85540678,0.263627363,0.222780117,4,0.209242346,0.271748488,34,6,0,0,1,0.476548929,0.448176028,0.333333333,0,0.333333333,0.333333333,2.433412456,0.247797305
